6173 Oberperfuss, Peter Anich Weg 5b
6082 Patsch, Römerstraße 20
6574 Pettneu, Dorfstraße 128
5452 Pfarrwerfen, Dorfwerfen 177
6600 Pflach, Kappl 37
6542 Pfunds, Hauptstraße 640
5721 Piesendorf, Mittersiller Bundesstraße 471
5721 Piesendorf, Alte Landesstraße
6600 Pinswang, Anton-Beirer-Straße 1a
6522 Prutz, Moosweg Nr. 26
6522 Prutz, Gewerbestrasse 2
9974 Prägraten am Großvenediger, St. Andrä / 3a
6241 Radfeld, Dorfstraße 92
5550 Radstadt, Salzburgerstraße 20
6284 Ramsau i.Z., Talstraße 29
6370 Reith bei Kitzbühel, Kitzbüheler Straße 60
6100 Reith bei Seefeld, Krinz 34
6235 Reith im A., Reither Anger Nr. 4a
6600 Reutte, Innsbrucker Straße 22a
6600 Reutte, Mühlerstraße 11
6600 Reutte, Kreckelmoosstraße 5
6531 Ried im Oberinntal, Am Kirchplatz 48
6421 Rietz, Dorf 7
6991 Riezlern in Mittelberg, Walserstraße 61
9232 Rosegg, Wildparkweg 2
6063 Rum, Feldkreuzstraße 1
5753 Saalbach, Dorfplatz 533
5753 Saalbach, Wieslweg 477
5020 Salzburg, Graf-Zeppelin-Platz 19
6432 Sautens, Dorfstraße 53
6108 Scharnitz, Innsbruckerstraße 195
5620 Schwarzach, Salzleckerstraße 2
6130 Schwaz, Mag. J. Außerhoferstraße 8
6130 Schwaz, Andreas Hoferstraße 10
6491 Schönwies, Öde 1b
6553 See, Elis 370
6100 Seefeld, Klosterstraße 276
6181 Sellrain, Rothenbrunn 6
6534 Serfaus, Dorfbahnstraße 50
9920 Sillian, Hauptstraße 203d
6424 Silz, Michael Lung Weg 1
6073 Sistrans, Unterdorf 54
6580 St. Anton am A., Gewerbegebiet 16
6580 St. Anton am A., Gewerbegebiet 15
4880 St. Georgen im Attergau, Attergaustraße 57
6380 St. Johann, Dampflfeld 4
6380 St. Johann in T., Mauthfeld 4
5522 St. Martin am Tennengebirge, Dorfstr. 25
6791 St.Gallenkirch, Haus Nr. 267b
9832 Stall, Stall 38
6135 Stans, Unterdorf 61
6150 Steinach am Brenner, Brennerstraße 1
4400 Steyr, Leopold-Werndl-Straße 2
6450 Sölden, Dorfstraße 76
6450 Sölden, Dorfstraße 153
6450 Sölden, Gehördestraße 2
6306 Söll, Dorf 140
6675 Tannheim, Sennweg 32
6464 Tarrenz, Hauptstraße 78
5660 Taxenbach, Högmoos 52
6410 Telfs, Obermarkt 41
6410 Telfs, Michael-Seeber-Straße 3
6410 Telfs, Anton Auer Straße 29
6410 Telfs, Saglstraße 69d
6065 Thaur, Schulgasse 1
6065 Thaur, Dörferstraße 2a
6152 Trins, Trins 154
6075 Tulfes, Schmalzgasse 27
6293 Tux, Vorderlanersbach 71
6441 Umhausen, Tumpen 91
6441 Umhausen, Farchapuit 1
5723 Uttendorf, Lindenplatz 2
9220 Velden, Villacher Straße 9
6111 Volders, Schönwerth-Park 2/2a
6134 Vomp, Industriestraße 12
6112 Wattens, Salzburger Straße 30
6112 Wattens, Bahnhofstraße 23
6114 Weer, Nusspuite 2
6133 Weerberg, Mitterberg 3
6671 Weißenbach, Kirchplatz 5
6473 Wenns, St. Margarethen 624
5450 Werfen, Markt 26
6210 Wiesing, Dorf 103
6314 Wildschönau, Niederau 385
6300 Wörgl, Josef-Speckbacher-Straße 9
6511 Zams, Hauptstraße 62
5700 Zell am See, Sonnengarten 1a
6170 Zirl, Bahnhofstraße 37b
6170 Zirl, Schwabstraße 11
6170 Zirl, Meilstraße 51
6433 Ötz, Hauptstraße 31
6430 Ötztal-Bahnhof, Ötztaler Höhe 1
