9422 Maria Rojach, Maria Rojach Nr. 20
9423 St.Georgen, Hauptstrasse 10
8813 St. Lambrecht, Hauptstrasse 19
4680 Haag Am Hausruck, Lambacherstrasse 10
9472 Ettendorf, Ettendorf Nr. 3
9470 St.Paul, Hauptstrasse 41
9360 Friesach, Industriestrasse 4
8844 Schoeder, Schoeder 126
9372 Eberstein, Unterer Platz 2
9155 Neuhaus, Neuhaus 6
9112 Griffen, Rudner Strasse 8
8854 Krakaudorf, Krakaudorf 46
9113 Ruden, Obermitterdorf 45
9341 Strassburg, 10.Oktober-Strasse 3A
4853 Steinbach/Attersee, Steinbach 8
4820 Bad Ischl, Salzburgerstrasse 107
9342 Gurk, Dr.Schnerichstr. 7
9100 Voelkermarkt, Griffnerstrasse 16
9125 Mittlern, Tannenweg 1
5360 St. Wolfgang, Russbach 62
9143 St. Michael/Bleiburg, St. Michael 129
5350 Strobl, Bahnstrasse 1
4824 Gosau, Vordertalstrasse 3
9344 Weitensfeld, Oberer Platz 5
9121 Tainach, Dorfplatz 27
5360 St. Wolfgang, Markt 4
9122 St. Primus, St. Primus 10
9133 Miklauzhof, Sittersdorf 100B
5571 Mariapfarr, Pfarrstrasse 276
9065 Ebenthal, Trabeweg 1
5524 Annaberg, Annaberg 237
9065 Ebenthal, Miegerer Strasse 150
5570 Mauterndorf, Markt 101
5202 Neumarkt, Salzburgerstrasse 11
5322 Elsenwang, Enzersbergstrasse 1
9863 Rennweg, Nr.46
9543 Arriach, Arriach 43
5102 Anthering, Salzburgerstrasse 8
5600 St. Johann, Liechtensteinklammstrasse 4
9853 Gmünd, Hauptplatz 5
9580 Drobollach, Seeblickstrasse 95
5611 Grossarl, Marktplatz 8
5612 Hüttschlag, Hüttschlag 126
5084 Grossgmain, Salzburger Strasse 290
5121 Ostermiething, Parkstrasse 1
9702 Ferndorf, Ferndorf 17
9710 Feistritz an der Drau, Drautalstrasse 4
9871 Seeboden, Hauptstrasse 77
9701 Rothenthurn, Molzbichl 59
9713 Zlan, Bichlweg 72
9800 Spittal/Drau, Burgenlandstrasse 5
5652 Dienten Am Hochkönig, Dorf 27
9811 Lendorf, Lendorf 259
9813 Möllbrücke, Mölltalstrasse 18
9751 Sachsenburg, Marktplatz 11
9611 Noetsch, Noetsch 64
9753 Lind Im Drautal, Lind Im Drautal 61
5091 Unken, Unken 72
9831 Flattach, Kleindorf 61
9620 Hermagor, Eggerstr. 11
5710 Kaprun, Sigmund-Thun-Str. 22
9761 Greifenburg, Schulstrasse 320
9771 Berg Im Drautal, Berg Im Drautal 177
9631 Tröpolach, Tröpolach 52
9844 Heiligenblut, Nr.46
9843 Grosskirchheim, Döllach 191
9632 Kirchbach, Kirchbach Nr. 19
5722 Niedernsill, Bahnhofstrasse 2
9833 Rangersdorf, Rangersdorf 130
9990 Debant, Hermann Gmeiner Str. 3
9900 Lienz/Tristach, Tristacher Strasse 17
5731 Hollersbach, Hollersbach 27
6365 Kirchberg, Hauptstrasse 12
9654 St.Lorenzen, St.Lorenzen 33
9972 Virgen, Virgental Strasse 60
9961 Hopfgarten/Defereggen, Nr.11
9942 Obertilliach, Dorf 66
9913 Abfaltersbach, Abfaltersbach 193
9941 Kartitsch, Kartitsch 84A
9931 Außervillgraten, Außervillgraten 143
6275 Stumm, Dorfstrasse 12
6284 Ramsau, Ramsau 160
6141 Schönberg, Dorfstrasse 15
6465 Nassereith, Fernpassstrasse 12
6600 Reutte, Ehrenbergestraße 2
6426 Roppen, Kirchplatz 8
6653 Bach, Lechtal Straße 89
6654 Holzgau, Holzgau 65A
6655 Steeg, Steeg 29
6886 Schoppernau, Unterdorf 9
6934 Sulzberg, Dorf 4
6883 Au, Lisse 335
6951 Lingenau, Hof 29
6941 Langenegg, Bach 202
6870 Bezau, Ellenbogen 607
6733 Fontanella, Kirchberg 89
6731 Sonntag, Boden 57
6912 Hoerbranz, Lindauerstrasse 75
6741 Raggal, Marul 17
6922 Wolfurt, Kellhofstrasse 8
6900 Bregenz, Schendlingerstrasse 32A
6712 Thüringen, Walgaustrasse 31
6845 Hohenems, Nibelungenstrasse 19
6822 Duens, Dorfstrasse 60
6830 Laterns, Laternserstrasse 84
6973 Hoechst, Landstrasse 50
6974 Gaissau, Rheinstrasse 1
6833 Klaus, Treietstrasse 17
6841 Maeder, Neue Landstrasse 23
6830 Rankweil, Vorderlandstrasse 4
6800 Altenstadt, Reichsstrasse 9
6805 Feldkirch Gisingen, Runastrasse 8
6805 Feldkirch-Gisingen, Noflerstrasse 34
6807 Tisis, Liechtensteinerstraße 101
